group,subgroup,shap value,cluster,type
Population without health services,class 0,0.762993873,non,dengue
Houses without water pipelines,class 1,0.17555992899999998,non,chkk
Population without health services,class 1,0.4,non,zika
Houses without water pipelines,class 1,0.56306634,all,zika
Houses without electricity,class 0,0.410618871,all,dengue
Altitude,class 1,0.001,non,dengue
Mean Min Temp,class 1,0.212630955,all,zika
Mean mm/day,class 1,0.403715795,non,chkk
Max mm/day,class 0,0.35188649200000005,non,dengue
Max mm/day,class 1,0.794507477,non,zika
Houses without toilet,class 0,0.448210702,non,dengue
Max mm/day,class 0,0.708475961,non,zika
Houses without sewage,class 1,0.415574909,all,chkk
Houses without sewage,class 1,0.399144899,all,chkk
Altitude,class 0,0.038330617000000004,non,chkk
Max mm/day,class 0,0.39555273,non,dengue
Mean mm/day,class 0,0.320978005,all,zika
Max mm/day,class 1,0.18591824899999998,all,zika
Min mm/day,class 0,0.019500543000000002,non,chkk
Houses without sewage,class 1,0.127654934,non,chkk
Illiteracy,class 1,0.818881695,all,chkk
Mean Temp,class 0,0.116968023,all,dengue
Illiteracy,class 1,0.821001187,all,chkk
Houses without toilet,class 0,0.460109195,all,dengue
Mean Max Temp,class 0,0.6061903670000001,all,chkk
Houses without sewage,class 1,0.064567426,non,zika
Illiteracy,class 0,0.475857999,non,dengue
Houses with floor of dirt,class 0,0.496254278,non,chkk
Mean mm/day,class 1,0.350417285,non,dengue
Mean mm/day,class 1,0.360975747,all,zika
Mean mm/day,class 0,0.18118399300000002,all,chkk
Houses without electricity,class 0,0.5751835999999999,all,chkk
Houses without electricity,class 0,0.5622057739999999,non,zika
Houses without toilet,class 0,0.399516947,all,dengue
Population without health services,class 1,0.7799582420000001,non,dengue
Mean Temp,class 0,0.31579498899999997,all,zika
Houses without sewage,class 1,0.368250564,all,chkk
Min mm/day,class 0,0.023134492000000003,all,zika
Population without health services,class 0,0.884071068,all,zika
Houses without toilet,class 1,0.398985563,all,zika
Population without health services,class 0,0.73467501,non,dengue
Mean Temp,class 0,0.28900877399999997,all,zika
Houses without water pipelines,class 1,0.178892598,non,chkk
Houses without water pipelines,class 0,0.28,non,dengue
Max mm/day,class 0,0.244616188,all,zika
Mean Max Temp,class 1,0.280566001,non,dengue
Houses without sewage,class 0,0.505282346,all,dengue
Mean Max Temp,class 0,0.484330187,all,dengue
Altitude,class 0,0.09156937300000001,all,zika
Houses without water pipelines,class 0,0.26554879600000003,all,chkk
Max mm/day,class 1,0.259460418,all,chkk
Mean Min Temp,class 0,0.412970423,all,dengue
Illiteracy,class 0,0.288574728,non,chkk
Houses without water pipelines,class 0,0.5763212870000001,all,zika
Illiteracy,class 1,0.15427655199999998,non,chkk
Mean Max Temp,class 1,0.43787150799999996,all,dengue
Houses without toilet,class 0,0.419871426,non,dengue
Mean Temp,class 0,0.10930620099999999,all,chkk
Houses without sewage,class 0,0.43440824100000003,all,chkk
Houses without toilet,class 1,0.498610481,all,dengue
Mean Temp,class 1,0.13827948699999998,all,dengue
Max mm/day,class 1,0.42841888899999997,non,dengue
Illiteracy,class 0,0.6854145359999999,non,zika
Population without health services,class 1,0.8903238729999999,all,zika
Mean Max Temp,class 1,0.17959456699999998,non,zika
Altitude,class 0,0.038739526,non,dengue
Houses without sewage,class 0,0.447866479,all,chkk
Altitude,class 1,0.068812859,all,chkk
Houses without toilet,class 1,0.8762826109999999,non,chkk
Altitude,class 1,0.011809751,all,zika
Illiteracy,class 1,0.6804366890000001,all,dengue
Mean Temp,class 0,0.299618905,all,zika
Houses with floor of dirt,class 1,0.168313286,non,zika
Houses without electricity,class 0,0.422354325,all,dengue
Min mm/day,class 1,0.030205517999999997,non,chkk
Houses without toilet,class 1,0.42686765600000004,all,zika
Houses without sewage,class 0,0.021099187999999998,non,zika
Houses without electricity,class 1,0.02,non,chkk
Max mm/day,class 1,0.160228418,all,zika
Illiteracy,class 1,0.739751701,non,zika
Houses without sewage,class 1,0.036528875,non,zika
Houses without electricity,class 0,0.563966878,non,zika
Max mm/day,class 0,0.276454353,all,chkk
Population without health services,class 1,0.388462174,non,zika
Mean mm/day,class 0,0.43318308200000005,non,zika
Max mm/day,class 1,0.40731404,non,dengue
Illiteracy,class 1,0.848406049,all,chkk
Mean mm/day,class 0,0.439190139,non,zika
Mean Temp,class 1,0.11,all,dengue
Population without health services,class 1,0.38659872,non,chkk
Min mm/day,class 0,0.020472024,all,zika
Mean Max Temp,class 0,0.28668445800000003,non,dengue
Houses with floor of dirt,class 1,0.17152644,non,zika
Min mm/day,class 0,0.043231042000000004,non,chkk
Population without health services,class 1,0.9011993770000001,all,zika
Houses with floor of dirt,class 0,0.23575688600000003,non,zika
Houses without toilet,class 1,0.8662838820000001,non,chkk
Houses without water pipelines,class 0,0.582070323,all,zika
Houses with floor of dirt,class 1,0.587279855,non,chkk
Houses with floor of dirt,class 1,0.16563041,non,zika
Mean Min Temp,class 0,0.001502434,non,chkk
Houses with floor of dirt,class 1,0.549376227,all,chkk
Population without health services,class 1,0.379965169,non,zika
Mean Max Temp,class 0,0.9767145909999999,non,chkk
Mean Min Temp,class 0,0.510226561,non,dengue
Max mm/day,class 0,0.398747433,non,dengue
Max mm/day,class 0,0.21205313399999998,all,zika
Min mm/day,class 1,0.017613768999999998,all,zika
Mean Max Temp,class 1,0.213307975,non,zika
Mean Max Temp,class 0,0.29831329300000003,non,dengue
Illiteracy,class 1,0.49775275799999996,non,dengue
Houses without toilet,class 0,0.437979743,all,dengue
Min mm/day,class 0,0.011447028,all,zika
Mean Max Temp,class 0,0.533518924,all,dengue
Altitude,class 1,0.058870768,all,chkk
Houses without electricity,class 1,0.330998776,non,dengue
Houses without water pipelines,class 0,0.6030940579999999,all,zika
Houses without electricity,class 1,0.487579837,all,chkk
Illiteracy,class 0,0.708881621,all,dengue
Houses without electricity,class 1,0.630499336,non,zika
Mean mm/day,class 0,0.134230496,all,chkk
Population without health services,class 1,0.8926124529999999,all,zika
Houses without water pipelines,class 0,0.602556591,all,zika
Mean Min Temp,class 0,0.12039793300000001,non,zika
Mean Max Temp,class 0,0.205116662,all,zika
Houses without water pipelines,class 0,0.637285352,all,zika
Mean Max Temp,class 0,0.979838937,non,chkk
Houses without water pipelines,class 0,0.38404891799999996,all,dengue
Illiteracy,class 1,0.670822633,all,dengue
Altitude,class 0,0.133727857,all,chkk
Mean Min Temp,class 0,0.32809382,all,dengue
Houses without electricity,class 1,0.28577611199999997,non,dengue
Mean Temp,class 1,0.04248768,non,chkk
Houses without toilet,class 0,0.43838161700000006,non,dengue
Mean Temp,class 1,0.182598128,all,chkk
Mean mm/day,class 0,0.332972971,non,chkk
Mean mm/day,class 0,0.153981059,all,chkk
Houses with floor of dirt,class 0,0.213199886,non,zika
Houses without toilet,class 0,0.459496244,non,dengue
Max mm/day,class 1,0.027182917,non,chkk
Houses without toilet,class 1,0.24168623,all,chkk
Population without health services,class 1,0.312556897,all,dengue
Houses without electricity,class 0,0.110117202,all,zika
Houses without sewage,class 1,0.35740628,all,zika
Altitude,class 0,0.03806012,non,chkk
Illiteracy,class 0,0.452847083,non,dengue
Houses with floor of dirt,class 1,0.550899888,non,chkk
Illiteracy,class 0,0.912153318,all,zika
Houses without sewage,class 1,0.507373785,all,dengue
Houses with floor of dirt,class 0,0.5104477470000001,all,chkk
Houses without water pipelines,class 0,0.44504728,non,zika
Houses without water pipelines,class 1,0.18710315800000002,non,chkk
Houses without water pipelines,class 0,0.252504216,non,dengue
Population without health services,class 0,0.858787903,all,zika
Houses without sewage,class 1,0.515516481,non,dengue
Max mm/day,class 1,0.8070898040000001,non,zika
Mean Min Temp,class 1,0.48919324299999994,all,chkk
Mean Temp,class 1,0.252790539,all,zika
Mean Max Temp,class 1,0.6189290829999999,all,chkk
Houses without water pipelines,class 1,0.321984863,all,chkk
Altitude,class 0,0.0137539,non,zika
Max mm/day,class 1,0.187336055,all,zika
Houses without toilet,class 0,0.45803925,non,dengue
Houses without electricity,class 1,0.6063201779999999,non,zika
Mean Max Temp,class 1,0.13997419,all,zika
Houses without electricity,class 0,0.512545282,non,zika
Illiteracy,class 1,0.746111682,non,zika
Houses without sewage,class 0,0.191479966,non,chkk
Houses with floor of dirt,class 0,0.43594394200000003,non,chkk
Houses without toilet,class 1,0.53558861,all,dengue
Mean mm/day,class 1,0.349211902,all,zika
Illiteracy,class 0,0.287865781,non,chkk
Mean Temp,class 1,0.015143251000000002,non,zika
Max mm/day,class 0,0.735966525,non,zika
Houses with floor of dirt,class 1,0.187295632,non,zika
Max mm/day,class 0,0.082347371,non,chkk
Altitude,class 0,0.009509265,all,dengue
Mean mm/day,class 1,0.20802732699999998,all,chkk
Mean mm/day,class 0,0.375182894,non,chkk
Mean Min Temp,class 1,0.019095288000000002,non,chkk
Mean Max Temp,class 0,0.245317022,non,dengue
Houses without toilet,class 1,0.38198965100000004,all,zika
Altitude,class 1,0.001,non,zika
Houses without toilet,class 1,0.21468482600000002,all,chkk
Mean Max Temp,class 0,0.959741465,non,chkk
Max mm/day,class 0,0.294954985,all,dengue
Altitude,class 0,0.0163895,non,zika
Mean Min Temp,class 1,0.170193619,all,zika
Mean Temp,class 1,0.7245617670000001,non,dengue
Population without health services,class 0,0.45860660799999997,non,zika
Illiteracy,class 0,0.7880608720000001,all,chkk
Houses without toilet,class 0,1.217949894,non,zika
Houses without electricity,class 0,0.259376548,non,dengue
Houses without electricity,class 0,0.375866849,all,dengue
Mean Temp,class 1,0.30797035100000003,all,zika
Mean Temp,class 0,0.153507331,all,dengue
Min mm/day,class 0,0.01099732,non,dengue
Min mm/day,class 1,0.019135603,all,dengue
Mean Min Temp,class 1,0.026902607000000002,non,zika
Altitude,class 0,0.024731987,non,zika
Houses with floor of dirt,class 0,0.632640293,all,dengue
Houses without toilet,class 0,0.428642276,all,zika
Max mm/day,class 1,0.18462699899999999,all,zika
Mean Max Temp,class 0,0.292792159,non,dengue
Houses with floor of dirt,class 1,0.17284887100000002,all,zika
Mean Min Temp,class 1,0.491896623,non,dengue
Houses without toilet,class 0,0.46099028299999995,all,zika
Mean mm/day,class 0,0.46645927299999995,non,zika
Min mm/day,class 0,0.02,non,zika
Max mm/day,class 0,0.40330555700000004,non,dengue
Houses without electricity,class 1,0.01382891,non,chkk
Illiteracy,class 1,0.513847821,non,dengue
Illiteracy,class 1,0.665490174,all,dengue
Mean Max Temp,class 0,0.631223188,all,chkk
Houses without toilet,class 0,0.322815436,non,dengue
Houses without toilet,class 1,1.2300387990000001,non,zika
Mean Min Temp,class 1,0.49160272,non,dengue
Houses without toilet,class 1,0.40785030299999997,non,dengue
Altitude,class 0,0.0056302159999999995,non,chkk
Houses without sewage,class 1,0.031085907000000003,non,zika
Population without health services,class 1,0.792088282,non,dengue
Houses with floor of dirt,class 1,0.5605260999999999,all,chkk
Mean Temp,class 1,0.099439325,all,dengue
Mean Temp,class 0,0.0150832,non,zika
Houses with floor of dirt,class 1,0.628123626,all,dengue
Houses without water pipelines,class 0,0.37464359799999997,all,dengue
Mean Min Temp,class 0,0.515269517,non,dengue
Mean Max Temp,class 1,0.18843666,non,zika
Mean Temp,class 1,0.73695669,non,dengue
Houses without electricity,class 1,0.49255511700000004,all,chkk
Houses without sewage,class 1,0.546362331,all,dengue
Altitude,class 0,0.036472876,all,dengue
Houses with floor of dirt,class 0,0.469940222,all,chkk
Mean mm/day,class 0,0.343562755,all,zika
Mean Temp,class 0,0.024585716,non,chkk
Houses with floor of dirt,class 1,0.235464786,all,zika
Max mm/day,class 1,0.256456008,all,dengue
Houses without water pipelines,class 1,0.588843917,all,zika
Houses without water pipelines,class 0,0.391629952,non,zika
Altitude,class 1,0.09797911,non,dengue
Houses without water pipelines,class 1,0.349422182,all,chkk
Min mm/day,class 0,0.010774228,all,dengue
Mean Min Temp,class 1,0.00275602,non,chkk
Mean Temp,class 0,0.020676034,non,zika
Illiteracy,class 1,0.842314008,all,zika
Min mm/day,class 0,0.024429291000000002,all,chkk
Illiteracy,class 0,0.49907834,non,dengue
Max mm/day,class 1,0.243611524,all,chkk
Min mm/day,class 1,0.001,non,dengue
Mean mm/day,class 0,0.424801595,non,dengue
Houses without electricity,class 1,0.24766840399999998,non,dengue
Illiteracy,class 1,0.213907314,non,chkk
Population without health services,class 0,0.447043873,non,zika
Population without health services,class 1,0.814799643,all,zika
Houses without electricity,class 0,0.534781767,non,zika
Mean Min Temp,class 1,0.440886163,all,chkk
Min mm/day,class 1,0.022223085,non,dengue
Mean Min Temp,class 1,0.425905297,all,chkk
Altitude,class 1,0.015643571999999998,all,zika
Houses without toilet,class 0,1.157501932,non,zika
Houses without toilet,class 0,1.162126068,non,zika
Houses with floor of dirt,class 0,0.545038255,all,chkk
Illiteracy,class 0,0.703875325,non,zika
Altitude,class 0,0.001,non,dengue
Houses without water pipelines,class 1,0.31185367199999997,all,chkk
Houses without electricity,class 0,0.265447405,non,dengue
Houses without sewage,class 1,0.035701395,non,zika
Mean Max Temp,class 1,0.16871912100000003,all,zika
Mean Min Temp,class 0,0.486651185,all,chkk
Houses without water pipelines,class 1,0.43733713799999996,non,zika
Min mm/day,class 1,0.01,non,dengue
Houses without electricity,class 0,0.581594441,non,zika
Mean Temp,class 1,0.19249911600000003,all,chkk
Altitude,class 0,0.001,non,zika
Altitude,class 1,0.001,non,dengue
Houses without electricity,class 1,0.604479455,non,zika
Houses with floor of dirt,class 1,0.300734903,non,dengue
Mean Max Temp,class 0,0.229288237,all,zika
Houses without electricity,class 1,0.375901049,all,dengue
Houses without toilet,class 1,0.864720875,non,chkk
Houses without sewage,class 1,0.495908894,non,dengue
Houses without sewage,class 1,0.510018434,non,dengue
Houses without water pipelines,class 0,0.381291439,non,zika
Mean Temp,class 1,0.19276037399999998,all,chkk
Max mm/day,class 0,0.30979908100000003,all,chkk
Min mm/day,class 1,0.047576285999999995,non,chkk
Min mm/day,class 1,0.032383744,all,zika
Population without health services,class 0,0.41756993200000003,non,zika
Min mm/day,class 1,0.014676871000000001,all,chkk
Illiteracy,class 1,0.8082716390000001,all,zika
Illiteracy,class 0,0.355836121,non,chkk
Houses without toilet,class 0,1.1906894270000001,non,zika
Max mm/day,class 1,0.294312713,all,chkk
Altitude,class 0,0.112791765,all,chkk
Population without health services,class 0,0.833872163,all,zika
Illiteracy,class 1,0.505534982,non,dengue
Mean Temp,class 1,0.065426101,all,dengue
Population without health services,class 1,0.8987956340000001,all,zika
Houses without toilet,class 0,0.779515663,non,chkk
Houses without water pipelines,class 1,0.16935599399999998,non,chkk
Max mm/day,class 0,0.386860465,non,dengue
Mean Temp,class 1,0.018240795,non,chkk
Houses without electricity,class 0,0.5766297229999999,all,chkk
Mean Min Temp,class 1,0.015509607,non,chkk
Houses without electricity,class 1,0.076087309,all,zika
Illiteracy,class 0,0.716449963,all,dengue
Houses without sewage,class 0,0.045442015999999995,non,zika
Mean Temp,class 0,0.280638956,all,zika
Houses without water pipelines,class 0,0.57017867,all,zika
Max mm/day,class 0,0.28291556100000004,all,dengue
Houses without electricity,class 1,0.48852423799999994,all,chkk
Min mm/day,class 0,0.017675147,non,chkk
Altitude,class 0,0.077883528,non,zika
Mean Max Temp,class 0,0.23301538,non,zika
Mean Temp,class 0,0.129737303,all,chkk
Houses without electricity,class 0,0.576529637,all,chkk
Houses without toilet,class 0,0.38166591,all,chkk
Max mm/day,class 1,0.8235458090000001,non,zika
Altitude,class 0,0.028686961,all,zika
Mean Temp,class 1,0.290341766,all,zika
Houses with floor of dirt,class 1,0.6,all,dengue
Houses without toilet,class 1,0.458783654,non,dengue
Houses with floor of dirt,class 0,0.177510908,all,zika
Mean mm/day,class 0,0.452975714,non,zika
Houses without electricity,class 1,0.077504888,all,zika
Mean Max Temp,class 0,0.9834546209999999,non,chkk
Houses without sewage,class 1,0.511504355,non,dengue
Illiteracy,class 0,0.6986891559999999,all,dengue
Altitude,class 1,0.01881427,non,chkk
Houses without sewage,class 0,0.48120776200000004,all,dengue
Mean Min Temp,class 1,0.34268125299999996,all,dengue
Houses with floor of dirt,class 0,0.200491807,all,zika
Illiteracy,class 0,0.7891684840000001,all,chkk
Houses without electricity,class 0,0.048057264,non,chkk
Mean Min Temp,class 0,0.494133964,all,chkk
Houses with floor of dirt,class 0,0.238626137,non,zika
Population without health services,class 1,0.9559952509999999,all,zika
Houses with floor of dirt,class 0,0.18030832100000002,all,zika
Mean Min Temp,class 0,0.388352243,all,dengue
Population without health services,class 0,0.405430045,non,chkk
Houses without water pipelines,class 0,0.12417335,non,chkk
Illiteracy,class 0,0.89340243,all,zika
Min mm/day,class 1,0.001,all,dengue
Mean Temp,class 0,0.130105226,all,chkk
Houses without water pipelines,class 0,0.121929341,non,chkk
Illiteracy,class 1,0.51,non,dengue
Population without health services,class 0,0.723301885,non,dengue
Houses without water pipelines,class 0,0.40669988,non,zika
Mean Min Temp,class 1,0.43815847,all,chkk
Max mm/day,class 0,0.765416923,non,zika
Illiteracy,class 0,0.802033689,all,chkk
Mean Min Temp,class 1,0.042006428,non,zika
Illiteracy,class 0,0.9369872309999999,all,zika
Mean mm/day,class 0,0.273884692,all,zika
Houses without electricity,class 1,0.307526125,non,dengue
Mean Min Temp,class 0,0.004632255,non,chkk
Altitude,class 0,0.027027752999999998,non,dengue
Illiteracy,class 0,0.7995079959999999,all,chkk
Population without health services,class 0,0.37159569299999995,all,dengue
Mean Min Temp,class 0,0.21623377600000002,all,zika
Houses without electricity,class 1,0.06002522,all,zika
Mean Max Temp,class 0,0.9829701679999999,non,chkk
Houses without sewage,class 1,0.5277276160000001,all,dengue
Houses with floor of dirt,class 1,0.572691288,all,chkk
Min mm/day,class 1,0.021300391000000002,all,chkk
Houses without toilet,class 0,0.788881378,non,chkk
Mean Temp,class 1,0.248587494,all,chkk
Mean Temp,class 0,0.019111071,non,chkk
Max mm/day,class 1,0.760650445,non,zika
Houses with floor of dirt,class 0,0.491156517,non,chkk
Houses with floor of dirt,class 0,0.18126099399999998,all,zika
Illiteracy,class 0,0.796568843,all,chkk
Houses with floor of dirt,class 1,0.599923843,all,dengue
Mean Min Temp,class 1,0.486311734,all,chkk
Mean mm/day,class 1,0.280732027,all,dengue
Houses without toilet,class 0,1.194938206,non,zika
Mean Temp,class 0,0.29443106199999997,all,zika
Altitude,class 0,0.010032488,non,dengue
Houses without toilet,class 0,0.793875915,non,chkk
Houses without electricity,class 0,0.580461464,non,zika
Min mm/day,class 0,0.015460051,non,zika
Houses without toilet,class 1,0.393392336,non,dengue
Altitude,class 0,0.019961472,all,zika
Max mm/day,class 1,0.380513186,non,dengue
Population without health services,class 0,0.41281897,non,chkk
Mean Max Temp,class 0,0.19759639199999998,non,zika
Mean Max Temp,class 0,0.25024214300000003,non,dengue
Mean Min Temp,class 0,0.49765849100000004,non,dengue
Min mm/day,class 1,0.021931971,all,chkk
Houses without water pipelines,class 0,0.262463458,non,dengue
Houses without toilet,class 1,0.221797314,all,chkk
Max mm/day,class 1,0.316278098,all,dengue
Houses without sewage,class 0,0.511745835,all,dengue
Altitude,class 1,0.001,non,chkk
Houses without toilet,class 1,1.171040866,non,zika
Population without health services,class 1,0.297286873,all,dengue
Altitude,class 0,0.03243107,non,chkk
Mean mm/day,class 0,0.348020183,non,chkk
Max mm/day,class 1,0.020175546000000003,non,chkk
Min mm/day,class 0,0.016648685,non,chkk
Mean Max Temp,class 0,1.007716748,non,chkk
Max mm/day,class 1,0.039594443,non,chkk
Houses without toilet,class 0,0.7750378920000001,non,chkk
Population without health services,class 0,0.380935312,non,chkk
Illiteracy,class 0,0.5300260920000001,non,dengue
Mean Max Temp,class 1,0.645551193,all,chkk
Houses without water pipelines,class 1,0.323343433,all,chkk
Houses without electricity,class 1,0.515904441,all,chkk
Illiteracy,class 0,0.694342901,all,dengue
Houses without water pipelines,class 0,0.286534191,non,dengue
Mean Min Temp,class 0,0.49422410200000005,all,chkk
Altitude,class 0,0.11045689800000001,all,chkk
Houses without electricity,class 0,0.592249565,all,chkk
Houses without sewage,class 1,0.36285100000000003,all,zika
Houses with floor of dirt,class 1,0.245864203,non,dengue
Mean mm/day,class 0,0.195359435,all,chkk
Illiteracy,class 0,0.909086035,all,zika
Max mm/day,class 1,0.015763443999999998,non,chkk
Min mm/day,class 1,0.008591194,all,zika
Houses with floor of dirt,class 0,0.250695088,non,zika
Illiteracy,class 1,0.863686506,all,chkk
Houses without electricity,class 0,0.037130267,non,chkk
Max mm/day,class 0,0.073657975,non,chkk
Illiteracy,class 0,0.270895335,non,chkk
Population without health services,class 1,0.365707011,non,chkk
Mean Temp,class 1,0.301302316,all,zika
Max mm/day,class 1,0.292110943,all,dengue
Houses without electricity,class 1,0.357197445,all,dengue
Illiteracy,class 1,0.6715935740000001,all,dengue
Houses with floor of dirt,class 1,0.559418579,non,chkk
Houses without sewage,class 0,0.399027019,all,chkk
Max mm/day,class 1,0.27601979600000004,all,dengue
Altitude,class 0,0.016004556,non,dengue
Illiteracy,class 0,0.479348933,non,dengue
Population without health services,class 1,0.7700529,non,dengue
Mean Min Temp,class 0,0.49732142700000004,non,dengue
Max mm/day,class 0,0.281794037,all,dengue
Houses without toilet,class 1,1.204737856,non,zika
Min mm/day,class 1,0.009246081,all,zika
Population without health services,class 0,1.207858275,all,chkk
Houses with floor of dirt,class 0,0.570731994,all,dengue
Illiteracy,class 1,0.216606212,non,chkk
Min mm/day,class 0,0.001,all,zika
Illiteracy,class 0,0.701028902,non,zika
Illiteracy,class 1,0.7470864159999999,non,zika
Houses without water pipelines,class 1,0.454112513,non,zika
Mean Temp,class 1,0.164229821,all,dengue
Houses with floor of dirt,class 1,0.187154772,all,zika
Mean Temp,class 0,0.024889026,non,chkk
Population without health services,class 0,0.39046009200000004,non,chkk
Altitude,class 0,0.010564941999999999,all,zika
Mean mm/day,class 0,0.44033289600000003,non,dengue
Houses without sewage,class 1,0.166578404,non,chkk
Min mm/day,class 0,0.005906135,all,chkk
Houses with floor of dirt,class 0,0.213236759,non,zika
Population without health services,class 0,0.40129240899999996,non,zika
Mean mm/day,class 0,0.275890068,all,dengue
Houses without sewage,class 1,0.217630105,non,chkk
Houses without toilet,class 0,0.45309582600000003,all,dengue
Mean mm/day,class 0,0.309363403,all,zika
Houses without sewage,class 1,0.524621779,non,dengue
Max mm/day,class 0,0.298333299,all,chkk
Houses without water pipelines,class 1,0.426673969,non,zika
Houses without water pipelines,class 1,0.56,all,zika
Illiteracy,class 1,0.807717564,all,chkk
Mean Min Temp,class 1,0.343342747,all,dengue
Illiteracy,class 0,0.722137592,all,dengue
Altitude,class 1,0.092938824,all,chkk
Max mm/day,class 0,0.269948636,all,dengue
Min mm/day,class 1,0.030327332000000002,all,dengue
Mean Max Temp,class 1,0.910235565,non,chkk
Min mm/day,class 1,0.09921270300000001,all,chkk
Max mm/day,class 0,0.7174618970000001,non,zika
Mean Min Temp,class 0,0.41003407299999994,all,dengue
Mean Max Temp,class 1,0.921133462,non,chkk
Altitude,class 0,0.0034115779999999997,non,zika
Altitude,class 0,0.016132957,non,chkk
Houses without water pipelines,class 0,0.404170435,non,zika
Mean Max Temp,class 1,0.6688096410000001,all,chkk
Mean Max Temp,class 0,0.275097265,non,dengue
Max mm/day,class 0,0.739555427,non,zika
Houses without toilet,class 1,0.207082259,all,chkk
Max mm/day,class 0,0.34454806600000004,non,dengue
Max mm/day,class 1,0.34902572,non,dengue
Mean mm/day,class 1,0.39444229799999997,non,chkk
Mean Max Temp,class 1,0.43610036700000004,all,dengue
Altitude,class 0,0.025432179,non,zika
Illiteracy,class 0,0.274128887,non,chkk
Mean mm/day,class 0,0.482036654,non,zika
Altitude,class 1,0.057723292,all,chkk
Population without health services,class 1,0.7504539729999999,non,dengue
Houses without toilet,class 1,1.2196685,non,zika
Mean mm/day,class 1,0.402193323,non,dengue
Altitude,class 0,0.001,all,dengue
Houses without electricity,class 1,0.067104955,all,zika
Population without health services,class 0,0.387817773,non,zika
Max mm/day,class 1,0.037779161,non,chkk
Max mm/day,class 1,0.32174008,all,dengue
Houses without toilet,class 1,0.4,all,zika
Population without health services,class 0,0.35324765399999997,all,dengue
Min mm/day,class 1,0.001,all,dengue
Houses without sewage,class 1,0.19428492,non,chkk
Houses without toilet,class 0,0.401254251,non,dengue
Houses without water pipelines,class 0,0.395820911,non,zika
Houses without electricity,class 0,0.062380912999999996,all,zika
Max mm/day,class 1,0.1931499,all,zika
Mean Min Temp,class 0,0.001,non,chkk
Population without health services,class 1,0.76213258,non,dengue
Illiteracy,class 0,0.470010902,non,dengue
Mean mm/day,class 0,0.3104658,all,zika
Houses with floor of dirt,class 1,0.600900278,all,chkk
Houses without electricity,class 1,0.06967361400000001,all,zika
Min mm/day,class 0,0.020070168,all,chkk
Population without health services,class 0,0.438968785,non,chkk
Max mm/day,class 1,0.31062781300000003,all,dengue
Mean mm/day,class 0,0.19314496899999997,all,chkk
Mean Max Temp,class 0,0.11843519599999999,all,zika
Houses without toilet,class 0,1.152884195,non,zika
Min mm/day,class 0,0.009445725,non,dengue
Houses without sewage,class 1,0.21,non,chkk
Houses without water pipelines,class 0,0.283278792,non,dengue
Houses without electricity,class 0,0.265934083,non,dengue
Population without health services,class 0,0.349245394,all,dengue
Houses without water pipelines,class 1,0.563050904,all,zika
Max mm/day,class 0,0.3998963,non,dengue
Altitude,class 0,0.044814429,non,chkk
Mean Temp,class 0,0.001,non,zika
Min mm/day,class 0,0.033824045,all,zika
Mean mm/day,class 0,0.37468313299999995,non,chkk
Houses without electricity,class 1,0.27213732399999996,non,dengue
Mean Max Temp,class 0,0.211126211,non,zika
Illiteracy,class 1,0.670813938,all,dengue
Mean mm/day,class 1,0.337299251,all,dengue
Altitude,class 1,0.0313967,all,dengue
Houses without electricity,class 1,0.39639467100000003,all,dengue
Min mm/day,class 1,0.020168753,non,zika
Houses without electricity,class 0,0.573818879,non,zika
Population without health services,class 1,0.266028974,all,dengue
Mean Min Temp,class 1,0.19974436399999998,all,zika
Altitude,class 0,0.025526571,all,zika
Houses with floor of dirt,class 1,0.599441648,all,dengue
Houses without electricity,class 1,0.608436047,non,zika
Mean mm/day,class 1,0.393875081,non,chkk
Illiteracy,class 0,0.712069029,non,zika
Houses without electricity,class 1,0.594972311,non,zika
Illiteracy,class 0,0.6910524490000001,non,zika
Mean Temp,class 1,0.31198362399999996,all,zika
Mean Min Temp,class 1,0.18,all,zika
Houses without sewage,class 0,0.482938639,non,dengue
Max mm/day,class 1,0.016557641,non,chkk
Illiteracy,class 0,0.8131499659999999,all,chkk
Mean Max Temp,class 0,0.439697228,all,dengue
Illiteracy,class 0,0.7279579690000001,all,dengue
Mean Min Temp,class 0,0.135201932,non,zika
Max mm/day,class 0,0.292301637,all,chkk
Mean Temp,class 0,0.021701552000000002,non,zika
Houses without sewage,class 0,0.45026485200000005,all,chkk
Population without health services,class 1,0.319231316,all,dengue
Mean Min Temp,class 0,0.48817088299999994,non,dengue
Population without health services,class 0,0.829353089,all,zika
Houses without water pipelines,class 1,0.56,all,zika
Houses without toilet,class 0,1.101831918,non,zika
Mean Max Temp,class 0,0.582232829,all,chkk
Houses without sewage,class 0,0.5330716560000001,non,dengue
Houses without electricity,class 0,0.422650232,all,dengue
Population without health services,class 1,0.36846079200000004,non,chkk
Mean Min Temp,class 1,0.480065254,non,dengue
Houses without electricity,class 0,0.563247215,non,zika
Houses without electricity,class 1,0.596496293,non,zika
Houses with floor of dirt,class 1,0.24569238699999998,non,dengue
Mean Min Temp,class 1,0.5000322229999999,non,dengue
Houses without sewage,class 0,0.28710416699999997,all,zika
Houses without sewage,class 1,0.222465689,non,chkk
Houses without electricity,class 1,0.409033737,all,dengue
Mean Temp,class 0,0.11538184800000001,all,dengue
Max mm/day,class 0,0.7190926059999999,non,zika
Houses without sewage,class 1,0.41414936399999996,all,chkk
